FIPS,Name,Area,Pop_2000,Pop_2010
1001,Autauga County,594,43671,54571
1003,Baldwin County,1590,140415,182265
1005,Barbour County,885,29038,27457
1007,Bibb County,623,20826,22915
1009,Blount County,645,51024,57322
1011,Bullock County,623,11714,10914
1013,Butler County,777,21399,20947
1015,Calhoun County,606,112249,118572
1017,Chambers County,597,36583,34215
1019,Cherokee County,554,23988,25989
1021,Chilton County,693,39593,43643
1023,Choctaw County,914,15922,13859
1025,Clarke County,1238,27867,25833
1027,Clay County,604,14254,13932
1029,Cleburne County,560,14123,14972
1031,Coffee County,679,43615,49948
1033,Colbert County,593,54984,54428
1035,Conecuh County,850,14089,13228
1037,Coosa County,651,12202,11539
1039,Covington County,1030,37631,37765
1041,Crenshaw County,609,13665,13906
1043,Cullman County,735,77483,80406
1045,Dale County,561,49129,50251
1047,Dallas County,979,46365,43820
1049,DeKalb County,777,64452,71109
1051,Elmore County,618,65874,79303
1053,Escambia County,945,38440,38319
1055,Etowah County,535,103459,104430
1057,Fayette County,628,18495,17241
1059,Franklin County,634,31223,31704
1061,Geneva County,574,25764,26790
1063,Greene County,647,9974,9045
1065,Hale County,644,17185,15760
1067,Henry County,562,16310,17302
1069,Houston County,580,88787,101547
1071,Jackson County,1078,53926,53227
1073,Jefferson County,1111,662047,658466
1075,Lamar County,605,15904,14564
1077,Lauderdale County,668,87966,92709
1079,Lawrence County,691,34803,34339
1081,Lee County,608,115092,140247
1083,Limestone County,560,65676,82782
1085,Lowndes County,716,13473,11299
1087,Macon County,609,24105,21452
1089,Madison County,802,276700,334811
1091,Marengo County,977,22539,21027
1093,Marion County,742,31214,30776
1095,Marshall County,566,82231,93019
1097,Mobile County,1229,399843,412992
1099,Monroe County,1026,24324,23068
1101,Montgomery County,784,223510,229363
1103,Morgan County,579,111064,119490
1105,Perry County,720,11861,10591
1107,Pickens County,881,20949,19746
1109,Pike County,672,29605,32899
1111,Randolph County,581,22380,22913
1113,Russell County,641,49756,52947
1115,St. Clair County,632,64742,83593
1117,Shelby County,785,143293,195085
1119,Sumter County,904,14798,13763
1121,Talladega County,737,80321,82291
1123,Tallapoosa County,717,41475,41616
1125,Tuscaloosa County,1322,164875,194656
1127,Walker County,791,70713,67023
1129,Washington County,1080,18097,17581
1131,Wilcox County,889,13183,11670
1133,Winston County,613,24843,24484
2013,Aleutians East Borough,6982,2697,3141
2016,Aleutians West Census Area,4390,5465,5561
2020,Anchorage Municipality,1705,260283,291826
2050,Bethel Census Area,40570,16006,17013
2060,Bristol Bay Borough,504,1258,997
2068,Denali Borough,12751,1893,1826
2070,Dillingham Census Area,18569,4922,4847
2090,Fairbanks North Star Borough,7338,82840,97581
2100,Haines Borough,2319,2392,2508
2105,Hoonah-Angoon Census Area,7525,,2150
2110,Juneau City and Borough,2702,30711,31275
2122,Kenai Peninsula Borough,16075,49691,55400
2130,Ketchikan Gateway Borough,4858,14070,13477
2150,Kodiak Island Borough,6550,13913,13592
2164,Lake and Peninsula Borough,23652,1823,1631
2170,Matanuska-Susitna Borough,24608,59322,88995
2180,Nome Census Area,22962,9196,9492
2185,North Slope Borough,88695,7385,9430
2188,Northwest Arctic Borough,35573,7208,7523
2195,Petersburg Census Area,3282,,3815
2198,Prince of Wales-Hyder Census Area,3923,,5559
2220,Sitka City and Borough,2870,8835,8881
2230,Skagway Municipality,452,,968
2240,Southeast Fairbanks Census Area,24769,6174,7029
2261,Valdez-Cordova Census Area,34240,10195,9636
2270,Wade Hampton Census Area,17081,7028,7459
2275,Wrangell City and Borough,2541,,2369
2282,Yakutat City and Borough,7649,808,662
2290,Yukon-Koyukuk Census Area,145505,6551,5588
4001,Apache County,11198,69423,71518
4003,Cochise County,6166,117755,131346
4005,Coconino County,18619,116320,134421
4007,Gila County,4758,51335,53597
4009,Graham County,4623,33489,37220
4011,Greenlee County,1843,8547,8437
4012,La Paz County,4500,19715,20489
4013,Maricopa County,9200,3072149,3817117
4015,Mohave County,13311,155032,200186
4017,Navajo County,9950,97470,107449
4019,Pima County,9187,843746,980263
4021,Pinal County,5366,179727,375770
4023,Santa Cruz County,1237,38381,47420
4025,Yavapai County,8124,167517,211033
4027,Yuma County,5514,160026,195751
5001,Arkansas County,989,20749,19019
5003,Ashley County,925,24209,21853
5005,Baxter County,554,38386,41513
5007,Benton County,847,153406,221339
5009,Boone County,590,33948,36903
5011,Bradley County,649,12600,11508
5013,Calhoun County,629,5744,5368
5015,Carroll County,630,25357,27446
5017,Chicot County,644,14117,11800
5019,Clark County,866,23546,22995
5021,Clay County,639,17609,16083
5023,Cleburne County,554,24046,25970
5025,Cleveland County,598,8571,8689
5027,Columbia County,766,25603,24552
5029,Conway County,552,20336,21273
5031,Craighead County,707,82148,96443
5033,Crawford County,593,53247,61948
5035,Crittenden County,610,50866,50902
5037,Cross County,616,19526,17870
5039,Dallas County,667,9210,8116
5041,Desha County,768,15341,13008
5043,Drew County,828,18723,18509
5045,Faulkner County,648,86014,113237
5047,Franklin County,609,17771,18125
5049,Fulton County,618,11642,12245
5051,Garland County,678,88068,96024
5053,Grant County,632,16464,17853
5055,Greene County,578,37331,42090
5057,Hempstead County,728,23587,22609
5059,Hot Spring County,615,30353,32923
5061,Howard County,589,14300,13789
5063,Independence County,764,34233,36647
5065,Izard County,581,13249,13696
5067,Jackson County,634,18418,17997
5069,Jefferson County,871,84278,77435
5071,Johnson County,660,22781,25540
5073,Lafayette County,528,8559,7645
5075,Lawrence County,588,17774,17415
5077,Lee County,603,12580,10424
5079,Lincoln County,562,14492,14134
5081,Little River County,532,13628,13171
5083,Logan County,708,22486,22353
5085,Lonoke County,771,52828,68356
5087,Madison County,834,14243,15717
5089,Marion County,597,16140,16653
5091,Miller County,626,40443,43462
5093,Mississippi County,901,51979,46480
5095,Monroe County,607,10254,8149
5097,Montgomery County,780,9245,9487
5099,Nevada County,618,9955,8997
5101,Newton County,821,8608,8330
5103,Ouachita County,733,28790,26120
5105,Perry County,551,10209,10445
5107,Phillips County,696,26445,21757
5109,Pike County,601,11303,11291
5111,Poinsett County,758,25614,24583
5113,Polk County,858,20229,20662
5115,Pope County,813,54469,61754
5117,Prairie County,648,9539,8715
5119,Pulaski County,760,361474,382748
5121,Randolph County,652,18195,17969
5123,St. Francis County,635,29329,28258
5125,Saline County,724,83529,107118
5127,Scott County,892,10996,11233
5129,Searcy County,666,8261,8195
5131,Sebastian County,532,115071,125744
5133,Sevier County,565,15757,17058
5135,Sharp County,604,17119,17264
5137,Stone County,606,11499,12394
5139,Union County,1039,45629,41639
5141,Van Buren County,708,16192,17295
5143,Washington County,942,157715,203065
5145,White County,1035,67165,77076
5147,Woodruff County,587,8741,7260
5149,Yell County,930,21139,22185
6001,Alameda County,739,1443741,1510271
6003,Alpine County,738,1208,1175
6005,Amador County,595,35100,38091
6007,Butte County,1636,203171,220000
6009,Calaveras County,1020,40554,45578
